Function;avg_workers
Germany;"10"
Greece;"12"
Spain;"14"
Netherlands;"23"
Japan;"30"
Croatia;"43"
Canada;"61"
United Kingdom;"79"
Italy;"105"
United States of America;"155"
Israel;"240"
Argentina;"284"
Poland;"329"
Lithuania;"353"
South Korea;"356"
Taiwan;"416"
Builgaria;"487"
Moldova;"556"
Mexico;"686"
Ecuador;"738"
Georgia;"1007"
Malaysia;"1051"
Turkey;"1161"
Brazil;"1303"
China;"1317"
Guatemala;"1365"
Jordan;"1424"
Egypt;"1535"
Thailand;"1749"
Sri Lanka;"1786"
Bosnia and Herzegovina;"1887"
El Salvador;"1930"
Nicaragua;"2689"
Cambodia;"3115"
Honduras;"3310"
Viet Nam;"4374"
Pakistan;"4817"
Indonesia;"6137"
India;"6217"
